Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2024-02-21,180.67572021484375,181.24057170015067,179.03068760645021,180.29914247718926,41371400
2024-02-22,182.70718383789062,183.29187418944446,180.81442139510878,181.825211247954,52292200
2024-02-23,180.8739013671875,183.3711632214272,180.58650833781007,183.34143499372246,45119700
2024-02-26,179.52618408203125,181.11174516126204,179.02077391854948,180.59644574912906,40867400
2024-02-27,180.98287963867188,182.26123857968312,177.94056046222855,179.46667979462939,54318900
2024-02-28,179.7838134765625,181.46847854843006,178.50545433930714,180.8639793914523,48953900
2024-02-29,179.11985778808594,180.92345088953732,177.9108594746495,179.63517226295397,136682600
2024-03-01,178.0396728515625,178.90182159301432,175.78023709238585,177.93066432277888,73563100
2024-03-04,173.5208282470703,175.30458245485661,172.2226300679557,174.56134649455421,81510100
2024-03-05,168.585693359375,170.48837518309247,168.09020282857864,169.21992063394748,95132400
2024-03-06,167.59474182128906,169.69563232435493,167.15870765798908,169.5172478388351,68587700
2024-03-07,167.475830078125,169.1902233947002,166.97043508778398,167.62447121611535,71765100
2024-03-08,169.19021606445312,172.13343143853632,167.41636636953461,167.4758228221548,76267000
2024-03-11,171.1920166015625,172.80732093128213,170.49833272784605,171.38030546468005,60139500
2024-03-12,171.66766357421875,172.46045153320196,169.4676841705973,171.58838326620315,59825400
2024-03-13,169.5866241455078,171.62804307697533,169.21995080494636,171.21183277143888,52488700
2024-03-14,171.4397430419922,172.73792596009017,170.49831395125625,171.35055836544484,72913500
2024-03-15,171.06317138671875,171.06317138671875,168.75418335618096,169.62625165850892,121752700
2024-03-18,172.15325927734375,176.107279800922,171.95506605696912,173.98658058844927,75604200
2024-03-19,174.49197387695312,175.01719271038215,171.46947815172825,172.76766112194616,55215200
2024-03-20,177.05860900878906,177.05860900878906,173.51089450186836,174.1352174960067,53423100
2024-03-21,169.82444763183594,175.8892630091755,169.29922879245808,175.45322885093574,106181300
2024-03-22,170.72625732421875,171.48931715990707,168.5262776263353,170.210942813777,71160100
2024-03-25,169.3091583251953,170.38932429506946,167.92177545566648,169.0316847755244,54288300
2024-03-26,168.17941284179688,169.87398209229724,168.0505804571819,168.46679071381658,57388400
2024-03-27,171.74693298339844,172.03432597186392,168.57579646987435,168.8730938257735,60273300
2024-03-28,169.9334716796875,170.67670766601367,168.97221859434498,170.20104086869387,65672700
2024-04-01,168.4965362548828,169.70553455748254,167.9514935576168,169.6460781034487,46240500
2024-04-02,167.31724548339844,167.81273603395658,166.71274640687062,167.5550863912881,49329500
2024-04-03,168.11997985839844,169.140689438472,167.05963767767048,167.26773529316293,47691700
2024-04-04,167.2974853515625,170.3695185848013,167.2974853515625,168.75421408193165,53704400
2024-04-05,168.0506134033203,168.85330584999502,167.4262903353845,168.06051777285862,42104800
2024-04-08,166.9307861328125,167.67402205960258,166.72268854116854,167.50555706407098,37425500
2024-04-09,168.13978576660156,168.5460917055098,166.83169838821917,167.17853275073267,42373800
